date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason,latest_disclosure_event_id,latest_disclosure_report_date,latest_disclosure_publication_date,days_since_disclosure,stale_disclosure_45d,report_to_publication_lag_days,pilot_rqi_asof,pilot_dii_asof,disclosure_rule_version_asof,disclosure_rule_status_asof,disclosure_asset_confidence_asof,disclosure_manual_review_required_asof,stress_regime_asof,asof_merge_rule,coding_status
2022-02-04,USDC,Circle,usd-coin,2,1.0018205293,0.0018205293,0.0018205293,0,0,0,0,0,45055703809.00,45137729036.73,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-05,USDC,Circle,usd-coin,2,1.0109247319,0.0109247319,0.0109247319,1,1,0,0,1,45102574316.00,45595307850.14,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-06,USDC,Circle,usd-coin,2,0.9984807417,-0.0015192583,0.0015192583,0,0,0,0,0,45193301860.00,45124641561.04,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-07,USDC,Circle,usd-coin,2,1.0016139883,0.0016139883,0.0016139883,0,0,0,0,0,45256724828.00,45329768654.33,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-08,USDC,Circle,usd-coin,2,0.9991344731,-0.0008655269,0.0008655269,0,0,0,0,0,45571607587.00,45532164136.29,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-09,USDC,Circle,usd-coin,2,1.0009916194,0.0009916194,0.0009916194,0,0,0,0,0,45803010019.00,45848429171.81,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-10,USDC,Circle,usd-coin,2,1.0013323797,0.0013323797,0.0013323797,0,0,0,0,0,46034924626.00,46096260626.36,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-11,USDC,Circle,usd-coin,2,1.0019474373,0.0019474373,0.0019474373,0,0,0,0,0,46075497320.00,46165226463.04,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-12,USDC,Circle,usd-coin,2,1.0003195479,0.0003195479,0.0003195479,0,0,0,0,0,46328988440.00,46343792768.87,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
2022-02-13,USDC,Circle,usd-coin,2,1.0008991098,0.0008991098,0.0008991098,0,0,0,0,0,46329711058.00,46371366556.20,18,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending,,,,,,,,,,,,,,latest publication_date <= market date,rules_frozen_v1_0_market_qc_pending
