date,stablecoin,issuer,gecko_id,defillama_asset_id,price_usd,peg_dev,abs_peg_dev,tail_depeg_50bp,tail_depeg_100bp,downside_depeg_50bp,downside_depeg_100bp,premium_50bp,circulating_face_usd,market_cap_usd_est,active_chains_with_supply,market_stress_flag,market_stress_window_ids,market_stress_types,source_price,source_supply,access_date,rule_version,rule_status,provisional_flag,provisional_reason
2023-06-16,USDP,Paxos,paxos-standard,11,0.999653,-0.000347,0.000347,0,0,0,0,0,1007269397.00,1006919874.52,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-17,USDP,Paxos,paxos-standard,11,0.999627,-0.000373,0.000373,0,0,0,0,0,1007269397.00,1006893685.51,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-18,USDP,Paxos,paxos-standard,11,1.002,0.002,0.002,0,0,0,0,0,1007269397.00,1009283935.79,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-19,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1007269397.00,1007269397.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-20,USDP,Paxos,paxos-standard,11,1.002,0.002,0.002,0,0,0,0,0,1007269397.00,1009283935.79,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-21,USDP,Paxos,paxos-standard,11,1.001,0.001,0.001,0,0,0,0,0,1007269397.00,1008276666.40,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-22,USDP,Paxos,paxos-standard,11,0.998011,-0.001989,0.001989,0,0,0,0,0,1000269397.00,998279861.17,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-23,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,1000269397.00,1000269397.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-24,USDP,Paxos,paxos-standard,11,0.999147,-0.000853,0.000853,0,0,0,0,0,1000269397.00,999416167.20,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-25,USDP,Paxos,paxos-standard,11,1.002,0.002,0.002,0,0,0,0,0,1000269397.00,1002269935.79,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-26,USDP,Paxos,paxos-standard,11,0.999526,-0.000474,0.000474,0,0,0,0,0,1000269397.00,999795269.31,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-27,USDP,Paxos,paxos-standard,11,1,0,0,0,0,0,0,0,995140453.00,995140453.00,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-28,USDP,Paxos,paxos-standard,11,1.002,0.002,0.002,0,0,0,0,0,995140453.00,997130733.91,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-29,USDP,Paxos,paxos-standard,11,0.999726,-0.000274,0.000274,0,0,0,0,0,989794018.00,989522814.44,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-06-30,USDP,Paxos,paxos-standard,11,0.999873,-0.000127,0.000127,0,0,0,0,0,989794018.00,989668314.16,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-07-01,USDP,Paxos,paxos-standard,11,0.999346,-0.000654,0.000654,0,0,0,0,0,986890936.00,986245509.33,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
2023-07-02,USDP,Paxos,paxos-standard,11,1.001,0.001,0.001,0,0,0,0,0,986890936.00,987877826.94,2,0,,normal,DeFiLlama stablecoinprices,DeFiLlama stablecoin/{asset},2026-05-22,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,market_abnormal_price_qc_pending
