model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,start_date,end_date,y_mean,y_sd,r2,adj_r2,status
absdev_rqi_dii__bank_cash_090__manual_review_free,absdev_rqi_dii,manual_review_free,bank_cash_090,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.19306853756166897,0.17114105216932296,estimated
tail50_rqi_dii_lpm__bank_cash_090__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,bank_cash_090,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.0,0.0,,,estimated
absdev_stress_interaction__bank_cash_090__manual_review_free,absdev_stress_interaction,manual_review_free,bank_cash_090,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.19306853756166975,0.1620327120832724,estimated
absdev_rqi_dii__bank_cash_090__non_stress_rows,absdev_rqi_dii,non_stress_rows,bank_cash_090,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.07687780881870687,0.06989327773789011,estimated
tail50_rqi_dii_lpm__bank_cash_090__non_stress_rows,tail50_rqi_dii_lpm,non_stress_rows,bank_cash_090,tail_depeg_50bp_pct,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.75,8.633114347045419,0.0067872521277989595,-0.0007275984235670663,estimated
absdev_stress_interaction__bank_cash_090__non_stress_rows,absdev_stress_interaction,non_stress_rows,bank_cash_090,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.07687780881870687,0.06989327773789011,estimated
absdev_rqi_dii__bank_cash_090__stress_rows_diagnostic,absdev_rqi_dii,stress_rows_diagnostic,bank_cash_090,abs_peg_dev_bps,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.201564785362073,0.04948188733580117,estimated
tail50_rqi_dii_lpm__bank_cash_090__stress_rows_diagnostic,tail50_rqi_dii_lpm,stress_rows_diagnostic,bank_cash_090,tail_depeg_50bp_pct,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,7.6923076923076925,27.1746488194703,0.23334970379196673,0.08732107594281757,estimated
absdev_stress_interaction__bank_cash_090__stress_rows_diagnostic,absdev_stress_interaction,stress_rows_diagnostic,bank_cash_090,abs_peg_dev_bps,26,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.20156478536206757,0.001955981702584486,estimated
absdev_rqi_dii__bank_cash_090__exclude_100bp_tail_days,absdev_rqi_dii,exclude_100bp_tail_days,bank_cash_090,abs_peg_dev_bps,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.10192631981070754,0.09423168607591559,estimated
tail50_rqi_dii_lpm__bank_cash_090__exclude_100bp_tail_days,tail50_rqi_dii_lpm,exclude_100bp_tail_days,bank_cash_090,tail_depeg_50bp_pct,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.8484848484848485,9.177726084129787,0.008992812603278999,0.0005019309487171997,estimated
absdev_stress_interaction__bank_cash_090__exclude_100bp_tail_days,absdev_stress_interaction,exclude_100bp_tail_days,bank_cash_090,abs_peg_dev_bps,825,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.16371034829210107,0.15447524784379307,estimated
absdev_rqi_dii__repo_090__all_rows_with_variant,absdev_rqi_dii,all_rows_with_variant,repo_090,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.09206724358319085,0.08429764786813254,estimated
tail50_rqi_dii_lpm__repo_090__all_rows_with_variant,tail50_rqi_dii_lpm,all_rows_with_variant,repo_090,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.01695465033415744,0.00854228181623462,estimated
absdev_stress_interaction__repo_090__all_rows_with_variant,absdev_stress_interaction,all_rows_with_variant,repo_090,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.19465156289528807,0.18576904336839783,estimated
absdev_rqi_dii__repo_090__rqi_available,absdev_rqi_dii,rqi_available,repo_090,abs_peg_dev_bps,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.09206724358319085,0.08429764786813254,estimated
tail50_rqi_dii_lpm__repo_090__rqi_available,tail50_rqi_dii_lpm,rqi_available,repo_090,tail_depeg_50bp_pct,826,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.9685230024213075,9.799516475274034,0.01695465033415744,0.00854228181623462,estimated
absdev_stress_interaction__repo_090__rqi_available,absdev_stress_interaction,rqi_available,repo_090,abs_peg_dev_bps,826,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,6.071721307506053,16.28749767642561,0.19465156289528807,0.18576904336839783,estimated
absdev_rqi_dii__repo_090__manual_review_free,absdev_rqi_dii,manual_review_free,repo_090,abs_peg_dev_bps,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.19298614571954187,0.17105642141844246,estimated
tail50_rqi_dii_lpm__repo_090__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,repo_090,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.0,0.0,,,estimated
absdev_stress_interaction__repo_090__manual_review_free,absdev_stress_interaction,manual_review_free,repo_090,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2023-03-01,0.7674731578947369,1.3983326217019685,0.1929861457195422,0.16194715132413995,estimated
absdev_rqi_dii__repo_090__non_stress_rows,absdev_rqi_dii,non_stress_rows,repo_090,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.08072045257346994,0.07376499572030581,estimated
tail50_rqi_dii_lpm__repo_090__non_stress_rows,tail50_rqi_dii_lpm,non_stress_rows,repo_090,tail_depeg_50bp_pct,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.75,8.633114347045419,0.0020026858713915185,-0.005548365685697609,estimated
absdev_stress_interaction__repo_090__non_stress_rows,absdev_stress_interaction,non_stress_rows,repo_090,abs_peg_dev_bps,800,7,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.3323431249999995,8.647708397119132,0.08072045257346994,0.07376499572030581,estimated
absdev_rqi_dii__repo_090__stress_rows_diagnostic,absdev_rqi_dii,stress_rows_diagnostic,repo_090,abs_peg_dev_bps,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.20156478536207278,0.049481887335800834,estimated
tail50_rqi_dii_lpm__repo_090__stress_rows_diagnostic,tail50_rqi_dii_lpm,stress_rows_diagnostic,repo_090,tail_depeg_50bp_pct,26,5,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,7.6923076923076925,27.1746488194703,0.2333497037919593,0.08732107594280858,estimated
absdev_stress_interaction__repo_090__stress_rows_diagnostic,absdev_stress_interaction,stress_rows_diagnostic,repo_090,abs_peg_dev_bps,26,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-11-06,2023-03-20,28.82181923076923,76.21352596068506,0.2015647853620749,0.00195598170259359,estimated
absdev_rqi_dii__repo_090__exclude_100bp_tail_days,absdev_rqi_dii,exclude_100bp_tail_days,repo_090,abs_peg_dev_bps,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.10527474495163291,0.09760880029393582,estimated
tail50_rqi_dii_lpm__repo_090__exclude_100bp_tail_days,tail50_rqi_dii_lpm,exclude_100bp_tail_days,repo_090,tail_depeg_50bp_pct,825,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,0.8484848484848485,9.177726084129787,0.0054256402297718775,-0.0030958047131797173,estimated
absdev_stress_interaction__repo_090__exclude_100bp_tail_days,absdev_stress_interaction,exclude_100bp_tail_days,repo_090,abs_peg_dev_bps,825,10,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,2022-08-24,2024-12-31,5.607141575757575,9.333220934644345,0.16643144305369284,0.1572263915045925,estimated
