model_run_id,model_family,sample_id,rqi_profile,outcome,n,k,rule_version,rule_status,provisional_flag,provisional_reason,term,coef,hac_se_lag7,t_stat,p_value,r2,adj_r2,status
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,0.0,0.0,,,,,estimated
tail50_rqi_dii_lpm__primary_path_b__manual_review_free,tail50_rqi_dii_lpm,manual_review_free,primary_path_b,tail_depeg_50bp_pct,190,6,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,0.0,0.0,,,,,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,Intercept,-42.559951724518584,75.26911285684736,-0.5654371376139693,0.5724728623133495,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,rqi_primary_path_b_10pp,-0.6948185644630249,1.8961040851349285,-0.3664453707527248,0.7144584128999183,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,market_stress_flag,0.015231932457591623,0.005954889929433772,2.5578864828891925,0.011345764623197585,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_primary_path_b_10pp,0.14027010657717076,0.05483825331542258,2.5578879358238336,0.011345718902411761,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,stress_x_dii_10pp,0.12794806141651377,0.05002105219531282,2.55788424675527,0.011345834989933579,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,days_since_disclosure_30d,-0.4588925537219013,0.1995118850139622,-2.300076277108941,0.0225784853970028,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,log_supply,1.974984083219637,2.485139931264234,0.7947174556947094,0.42781297784487426,0.1929861457195422,0.16194715132413995,estimated
absdev_stress_interaction__primary_path_b__manual_review_free,absdev_stress_interaction,manual_review_free,primary_path_b,abs_peg_dev_bps,190,8,RQI_DII_v1.0,frozen_confirmed_by_researcher,1,robustness_pilot_pending_multi_issuer_source_expansion,trend_years,1.4721146088813857,1.2299649068817662,1.1968752934695694,0.23291186107984996,0.1929861457195422,0.16194715132413995,estimated
